#queryIndex	queryItem	stringId	preferredName	annotation
12	ATG16L1	9606.ENSP00000375872	ATG16L1	Autophagy-related protein 16-1; Plays an essential role in autophagy: interacts with ATG12-ATG5 to mediate the conjugation of phosphatidylethanolamine (PE) to LC3 (MAP1LC3A, MAP1LC3B or MAP1LC3C), to produce a membrane-bound activated form of LC3 named LC3-II. Thereby, controls the elongation of the nascent autophagosomal membrane. Regulates mitochondrial antiviral signaling (MAVS)-dependent type I interferon (IFN-I) production. Negatively regulates NOD1- and NOD2- driven inflammatory cytokine response. Plays a role in regulating morphology and function of Paneth cell; Belongs to the W [...] 
13	ATG4A	9606.ENSP00000361306	ATG4A	Cysteine protease ATG4A; Cysteine protease required for the cytoplasm to vacuole transport (Cvt) and autophagy. Cleaves the C-terminal amino acid of ATG8 family proteins to reveal a C-terminal glycine. Exposure of the glycine at the C-terminus is essential for ATG8 proteins conjugation to phosphatidylethanolamine (PE) and insertion to membranes, which is necessary for autophagy. Preferred substrate is GABARAPL2 followed by MAP1LC3A and GABARAP. Has also an activity of delipidating enzyme for the PE-conjugated forms
14	ATG4B	9606.ENSP00000384259	ATG4B	Cysteine protease ATG4B; Cysteine protease required for the cytoplasm to vacuole transport (Cvt) and autophagy. Cleaves the C-terminal amino acid of ATG8 family proteins MAP1LC3, GABARAPL1, GABARAPL2 and GABARAP, to reveal a C-terminal glycine. Exposure of the glycine at the C- terminus is essential for ATG8 proteins conjugation to phosphatidylethanolamine (PE) and insertion to membranes, which is necessary for autophagy. Has also an activity of delipidating enzyme for the PE-conjugated forms
15	ATG4D	9606.ENSP00000311318	ATG4D	Cysteine protease ATG4D; Cysteine protease ATG4D: Cysteine protease required for the cytoplasm to vacuole transport (Cvt) and autophagy. Cleaves the C-terminal amino acid of ATG8 family proteins MAP1LC3 and GABARAPL2, to reveal a C-terminal glycine. Exposure of the glycine at the C-terminus is essential for ATG8 proteins conjugation to phosphatidylethanolamine (PE) and insertion to membranes, which is necessary for autophagy. Has also an activity of delipidating enzyme for the PE-conjugated forms; Belongs to the peptidase C54 family
16	ATG5	9606.ENSP00000358072	ATG5	Autophagy protein 5; Involved in autophagic vesicle formation. Conjugation with ATG12, through a ubiquitin-like conjugating system involving ATG7 as an E1-like activating enzyme and ATG10 as an E2-like conjugating enzyme, is essential for its function. The ATG12-ATG5 conjugate acts as an E3-like enzyme which is required for lipidation of ATG8 family proteins and their association to the vesicle membranes. Involved in mitochondrial quality control after oxidative damage, and in subsequent cellular longevity. Plays a critical role in multiple aspects of lymphocyte development and is esse [...] 
17	ATG7	9606.ENSP00000346437	ATG7	Ubiquitin-like modifier-activating enzyme ATG7; E1-like activating enzyme involved in the 2 ubiquitin- like systems required for cytoplasm to vacuole transport (Cvt) and autophagy. Activates ATG12 for its conjugation with ATG5 as well as the ATG8 family proteins for their conjugation with phosphatidylethanolamine. Both systems are needed for the ATG8 association to Cvt vesicles and autophagosomes membranes. Required for autophagic death induced by caspase-8 inhibition. Required for mitophagy which contributes to regulate mitochondrial quantity and quality by eliminating the mitochondri [...] 
18	ATM	9606.ENSP00000278616	ATM	Serine-protein kinase ATM; Serine/threonine protein kinase which activates checkpoint signaling upon double strand breaks (DSBs), apoptosis and genotoxic stresses such as ionizing ultraviolet A light (UVA), thereby acting as a DNA damage sensor. Recognizes the substrate consensus sequence [ST]-Q. Phosphorylates 'Ser-139' of histone variant H2AX/H2AFX at double strand breaks (DSBs), thereby regulating DNA damage response mechanism. Also plays a role in pre-B cell allelic exclusion, a process leading to expression of a single immunoglobulin heavy chain allele to enforce clonality and mon [...] 
19	ATP13A2	9606.ENSP00000327214	ATP13A2	Cation-transporting ATPase 13A2; ATPase that plays a role in intracellular cation homeostasis and the maintenance of neuronal integrity. Required for a proper lysosomal and mitochondrial maintenance; ATPase orphan transporters
20	ATP6V0A1	9606.ENSP00000264649	ATP6V0A1	V-type proton ATPase 116 kDa subunit a isoform 1; Required for assembly and activity of the vacuolar ATPase. Potential role in differential targeting and regulation of the enzyme for a specific organelle (By similarity); V-type ATPases
21	ATP6V0A2	9606.ENSP00000332247	ATP6V0A2	V-type proton ATPase 116 kDa subunit a isoform 2; Part of the proton channel of V-ATPases. Essential component of the endosomal pH-sensing machinery. May play a role in maintaining the Golgi functions, such as glycosylation maturation, by controlling the Golgi pH. In aerobic conditions, involved in intracellular iron homeostasis, thus triggering the activity of Fe(2+) prolyl hydroxylase (PHD) enzymes, and leading to HIF1A hydroxylation and subsequent proteasomal degradation; Belongs to the V-ATPase 116 kDa subunit family
22	ATP6V0B	9606.ENSP00000434729	ATP6V0B	V-type proton ATPase 21 kDa proteolipid subunit; Proton-conducting pore forming subunit of the membrane integral V0 complex of vacuolar ATPase. V-ATPase is responsible for acidifying a variety of intracellular compartments in eukaryotic cells; V-type ATPases
23	ATP6V0C	9606.ENSP00000329757	ATP6V0C	V-type proton ATPase 16 kDa proteolipid subunit; Proton-conducting pore forming subunit of the membrane integral V0 complex of vacuolar ATPase. V-ATPase is responsible for acidifying a variety of intracellular compartments in eukaryotic cells; V-type ATPases
24	ATP6V0D1	9606.ENSP00000290949	ATP6V0D1	V-type proton ATPase subunit d 1; Subunit of the integral membrane V0 complex of vacuolar ATPase. Vacuolar ATPase is responsible for acidifying a variety of intracellular compartments in eukaryotic cells, thus providing most of the energy required for transport processes in the vacuolar system. May play a role in coupling of proton transport and ATP hydrolysis (By similarity). May play a role in cilium biogenesis through regulation of the transport and the localization of proteins to the cilium (By similarity). In aerobic conditions, involved in intracellular iron homeostasis, thus tri [...] 
25	ATP6V0D2	9606.ENSP00000285393	ATP6V0D2	V-type proton ATPase subunit d 2; Subunit of the integral membrane V0 complex of vacuolar ATPase. Vacuolar ATPase is responsible for acidifying a variety of intracellular compartments in eukaryotic cells, thus providing most of the energy required for transport processes in the vacuolar system. May play a role in coupling of proton transport and ATP hydrolysis (By similarity); V-type ATPases
26	ATP6V0E1	9606.ENSP00000429690	ATP6V0E1	V-type proton ATPase subunit e 1; Vacuolar ATPase is responsible for acidifying a variety of intracellular compartments in eukaryotic cells; Belongs to the V-ATPase e1/e2 subunit family
27	ATP6V0E2	9606.ENSP00000411672	ATP6V0E2	ATPase H+ transporting V0 subunit e2; V-type ATPases
28	ATP6V1A	9606.ENSP00000273398	ATP6V1A	V-type proton ATPase catalytic subunit A; Catalytic subunit of the peripheral V1 complex of vacuolar ATPase. V-ATPase vacuolar ATPase is responsible for acidifying a variety of intracellular compartments in eukaryotic cells. In aerobic conditions, involved in intracellular iron homeostasis, thus triggering the activity of Fe(2+) prolyl hydroxylase (PHD) enzymes, and leading to HIF1A hydroxylation and subsequent proteasomal degradation; Belongs to the ATPase alpha/beta chains family
29	ATP6V1B1	9606.ENSP00000234396	ATP6V1B1	V-type proton ATPase subunit B, kidney isoform; Non-catalytic subunit of the peripheral V1 complex of vacuolar ATPase. V-ATPase is responsible for acidifying a variety of intracellular compartments in eukaryotic cells; Belongs to the ATPase alpha/beta chains family
30	ATP6V1C1	9606.ENSP00000379203	ATP6V1C1	V-type proton ATPase subunit C 1; Subunit of the peripheral V1 complex of vacuolar ATPase. Subunit C is necessary for the assembly of the catalytic sector of the enzyme and is likely to have a specific function in its catalytic activity. V-ATPase is responsible for acidifying a variety of intracellular compartments in eukaryotic cells
31	ATP6V1C2	9606.ENSP00000272238	ATP6V1C2	V-type proton ATPase subunit C 2; Subunit of the peripheral V1 complex of vacuolar ATPase. Subunit C is necessary for the assembly of the catalytic sector of the enzyme and is likely to have a specific function in its catalytic activity. V-ATPase is responsible for acidifying a variety of intracellular compartments in eukaryotic cells; V-type ATPases
32	ATP6V1D	9606.ENSP00000216442	ATP6V1D	V-type proton ATPase subunit D; Subunit of the peripheral V1 complex of vacuolar ATPase. Vacuolar ATPase is responsible for acidifying a variety of intracellular compartments in eukaryotic cells, thus providing most of the energy required for transport processes in the vacuolar system (By similarity). May play a role in cilium biogenesis through regulation of the transport and the localization of proteins to the cilium
33	ATP6V1E1	9606.ENSP00000253413	ATP6V1E1	V-type proton ATPase subunit E 1; Subunit of the peripheral V1 complex of vacuolar ATPase essential for assembly or catalytic function. V-ATPase is responsible for acidifying a variety of intracellular compartments in eukaryotic cells; V-type ATPases
34	ATP6V1G1	9606.ENSP00000363162	ATP6V1G1	V-type proton ATPase subunit G 1; Catalytic subunit of the peripheral V1 complex of vacuolar ATPase (V-ATPase). V-ATPase is responsible for acidifying a variety of intracellular compartments in eukaryotic cells. In aerobic conditions, involved in intracellular iron homeostasis, thus triggering the activity of Fe(2+) prolyl hydroxylase (PHD) enzymes, and leading to HIF1A hydroxylation and subsequent proteasomal degradation
35	ATP6V1H	9606.ENSP00000352522	ATP6V1H	V-type proton ATPase subunit H; Subunit of the peripheral V1 complex of vacuolar ATPase. Subunit H activates the ATPase activity of the enzyme and couples ATPase activity to proton flow. Vacuolar ATPase is responsible for acidifying a variety of intracellular compartments in eukaryotic cells, thus providing most of the energy required for transport processes in the vacuolar system (By similarity). Involved in the endocytosis mediated by clathrin-coated pits, required for the formation of endosomes
36	AGER	9606.ENSP00000364210	AGER	Advanced glycosylation end product-specific receptor; Mediates interactions of advanced glycosylation end products (AGE). These are nonenzymatically glycosylated proteins which accumulate in vascular tissue in aging and at an accelerated rate in diabetes. Acts as a mediator of both acute and chronic vascular inflammation in conditions such as atherosclerosis and in particular as a complication of diabetes. AGE/RAGE signaling plays an important role in regulating the production/expression of TNF- alpha, oxidative stress, and endothelial dysfunction in type 2 diabetes. Interaction with S [...] 
37	ARSA	9606.ENSP00000216124	ARSA	Arylsulfatase A; Hydrolyzes cerebroside sulfate; Belongs to the sulfatase family
38	ATG16L2	9606.ENSP00000326340	ATG16L2	Autophagy-related protein 16-2; May play a role in autophagy
39	ATG2A	9606.ENSP00000366475	ATG2A	Autophagy-related protein 2 homolog A; Required for both autophagosome formation and regulation of lipid droplet morphology and dispersion; Belongs to the ATG2 family
40	ATG2B	9606.ENSP00000353010	ATG2B	Autophagy-related protein 2 homolog B; Required for both autophagosome formation and regulation of lipid droplet morphology and dispersion; Autophagy related
41	ATG9A	9606.ENSP00000386710	ATG9A	Autophagy-related protein 9A; Involved in autophagy and cytoplasm to vacuole transport (Cvt) vesicle formation. Plays a key role in the organization of the preautophagosomal structure/phagophore assembly site (PAS), the nucleating site for formation of the sequestering vesicle. Cycles between a juxta-nuclear trans-Golgi network compartment and late endosomes. Nutrient starvation induces accumulation on autophagosomes. Starvation-dependent trafficking requires ULK1, ATG13 and SUPT20H
42	BAG3	9606.ENSP00000358081	BAG3	BAG family molecular chaperone regulator 3; Co-chaperone for HSP70 and HSC70 chaperone proteins. Acts as a nucleotide-exchange factor (NEF) promoting the release of ADP from the HSP70 and HSC70 proteins thereby triggering client/substrate protein release. Nucleotide release is mediated via its binding to the nucleotide-binding domain (NBD) of HSPA8/HSC70 where as the substrate release is mediated via its binding to the substrate-binding domain (SBD) of HSPA8/HSC70. Has anti-apoptotic activity. Plays a role in the HSF1 nucleocytoplasmic transport; BCL2 associated athanogene family
43	BCL2	9606.ENSP00000381185	BCL2	Apoptosis regulator Bcl-2; Suppresses apoptosis in a variety of cell systems including factor-dependent lymphohematopoietic and neural cells. Regulates cell death by controlling the mitochondrial membrane permeability. Appears to function in a feedback loop system with caspases. Inhibits caspase activity either by preventing the release of cytochrome c from the mitochondria and/or by binding to the apoptosis-activating factor (APAF-1). May attenuate inflammation by impairing NLRP1-inflammasome activation, hence CASP1 activation and IL1B release; BCL2 family
44	BCL2L11	9606.ENSP00000376943	BCL2L11	Bcl-2-like protein 11; Induces apoptosis and anoikis. Isoform BimL is more potent than isoform BimEL. Isoform Bim-alpha1, isoform Bim-alpha2 and isoform Bim-alpha3 induce apoptosis, although less potent than isoform BimEL, isoform BimL and isoform BimS. Isoform Bim-gamma induces apoptosis. Isoform Bim-alpha3 induces apoptosis possibly through a caspase-mediated pathway. Isoform BimAC and isoform BimABC lack the ability to induce apoptosis; Belongs to the Bcl-2 family
45	BECN1	9606.ENSP00000355231	BECN1	Beclin-1; Plays a central role in autophagy. Acts as core subunit of the PI3K complex that mediates formation of phosphatidylinositol 3-phosphate; different complex forms are believed to play a role in multiple membrane trafficking pathways: PI3KC3-C1 is involved in initiation of autophagosomes and PI3KC3-C2 in maturation of autophagosomes and endocytosis. Involved in regulation of degradative endocytic trafficking and required for the abcission step in cytokinesis, probably in the context of PI3KC3-C2. Essential for the formation of PI3KC3-C2 but not PI3KC3-C1 PI3K complex forms. Invo [...] 
46	BMF	9606.ENSP00000346697	BMF	Bcl-2-modifying factor; May play a role in apoptosis. Isoform 1 seems to be the main initiator; BCL2 homology region 3 only
47	BNIP3L	9606.ENSP00000370003	BNIP3L	BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like; Induces apoptosis. Interacts with viral and cellular anti-apoptosis proteins. Can overcome the suppressors BCL-2 and BCL-XL, although high levels of BCL-XL expression will inhibit apoptosis. Inhibits apoptosis induced by BNIP3. Involved in mitochondrial quality control via its interaction with SPATA18/MIEAP: in response to mitochondrial damage, participates in mitochondrial protein catabolic process (also named MALM) leading to the degradation of damaged proteins inside mitochondria. The physical interaction of SPATA18/MIEA [...] 
48	BOK	9606.ENSP00000314132	BOK	Bcl-2-related ovarian killer protein; Isoform 1: Apoptosis regulator that functions through different apoptotic signaling pathways. Plays a roles as pro-apoptotic protein that positively regulates intrinsic apoptotic process in a BAX- and BAK1-dependent manner or in a BAX- and BAK1-independent manner. In response to endoplasmic reticulum stress promotes mitochondrial apoptosis through downstream BAX/BAK1 activation and positive regulation of PERK-mediated unfolded protein response (By similarity). Activates apoptosis independently of heterodimerization with survival- promoting BCL2 and [...] 
49	BID	9606.ENSP00000318822	BID	BH3-interacting domain death agonist; The major proteolytic product p15 BID allows the release of cytochrome c (By similarity). Isoform 1, isoform 2 and isoform 4 induce ICE-like proteases and apoptosis. Isoform 3 does not induce apoptosis. Counters the protective effect of Bcl-2; BCL2 homology region 3 only
50	C19ORF12	9606.ENSP00000376103	C19orf12	Protein C19orf12; Chromosome 19 open reading frame 12
51	C9ORF72	9606.ENSP00000482753	C9orf72	Guanine nucleotide exchange C9orf72; Component of the C9orf72-SMCR8 complex, a complex that has guanine nucleotide exchange factor (GEF) activity and regulates autophagy. In the complex, C9orf72 and SMCR8 probably constitute the catalytic subunits that promote the exchange of GDP to GTP, converting inactive GDP-bound RAB8A and RAB39B into their active GTP-bound form, thereby promoting autophagosome maturation. The C9orf72-SMCR8 complex also acts as a regulator of autophagy initiation by interacting with the ATG1/ULK1 kinase complex and modulating its protein kinase activity. Positively [...] 
52	CAPN1	9606.ENSP00000431984	CAPN1	Calpain-1 catalytic subunit; Calcium-regulated non-lysosomal thiol-protease which catalyzes limited proteolysis of substrates involved in cytoskeletal remodeling and signal transduction; Belongs to the peptidase C2 family
53	CASP3	9606.ENSP00000311032	CASP3	Caspase-3; Involved in the activation cascade of caspases responsible for apoptosis execution. At the onset of apoptosis it proteolytically cleaves poly(ADP-ribose) polymerase (PARP) at a '216-Asp-|-Gly-217' bond. Cleaves and activates sterol regulatory element binding proteins (SREBPs) between the basic helix-loop- helix leucine zipper domain and the membrane attachment domain. Cleaves and activates caspase-6, -7 and -9. Involved in the cleavage of huntingtin. Triggers cell adhesion in sympathetic neurons through RET cleavage
54	CDK5	9606.ENSP00000419782	CDK5	Cyclin-dependent-like kinase 5; Proline-directed serine/threonine-protein kinase essential for neuronal cell cycle arrest and differentiation and may be involved in apoptotic cell death in neuronal diseases by triggering abortive cell cycle re-entry. Interacts with D1 and D3- type G1 cyclins. Phosphorylates SRC, NOS3, VIM/vimentin, p35/CDK5R1, MEF2A, SIPA1L1, SH3GLB1, PXN, PAK1, MCAM/MUC18, SEPT5, SYN1, DNM1, AMPH, SYNJ1, CDK16, RAC1, RHOA, CDC42, TONEBP/NFAT5, MAPT/TAU, MAP1B, histone H1, p53/TP53, HDAC1, APEX1, PTK2/FAK1, huntingtin/HTT, ATM, MAP2, NEFH and NEFM. Regulates several ne [...] 
55	CDK5R1	9606.ENSP00000318486	CDK5R1	Cyclin-dependent kinase 5 activator 1; P35 is a neuron specific activator of CDK5. The complex p35/CDK5 is required for neurite outgrowth and cortical lamination. Involved in dendritic spine morphogenesis by mediating the EFNA1-EPHA4 signaling. Activator of TPKII. The complex p35/CDK5 participates in the regulation of the circadian clock by modulating the function of CLOCK protein: phosphorylates CLOCK at 'Thr-451' and 'Thr-461' and regulates the transcriptional activity of the CLOCK-ARNTL/BMAL1 heterodimer in association with altered stability and subcellular distribution
56	CHMP2A	9606.ENSP00000469240	CHMP2A	Charged multivesicular body protein 2a; Probable core component of the endosomal sorting required for transport complex III (ESCRT-III) which is involved in multivesicular bodies (MVBs) formation and sorting of endosomal cargo proteins into MVBs. MVBs contain intraluminal vesicles (ILVs) that are generated by invagination and scission from the limiting membrane of the endosome and mostly are delivered to lysosomes enabling degradation of membrane proteins, such as stimulated growth factor receptors, lysosomal enzymes and lipids. The MVB pathway appears to require the sequential functio [...] 
57	CHMP2B	9606.ENSP00000263780	CHMP2B	Charged multivesicular body protein 2b; Probable core component of the endosomal sorting required for transport complex III (ESCRT-III) which is involved in multivesicular bodies (MVBs) formation and sorting of endosomal cargo proteins into MVBs. MVBs contain intraluminal vesicles (ILVs) that are generated by invagination and scission from the limiting membrane of the endosome and mostly are delivered to lysosomes enabling degradation of membrane proteins, such as stimulated growth factor receptors, lysosomal enzymes and lipids. The MVB pathway appears to require the sequential functio [...] 
58	CHMP3	9606.ENSP00000405575	CHMP3	Charged multivesicular body protein 3; Probable core component of the endosomal sorting required for transport complex III (ESCRT-III) which is involved in multivesicular bodies (MVBs) formation and sorting of endosomal cargo proteins into MVBs. MVBs contain intraluminal vesicles (ILVs) that are generated by invagination and scission from the limiting membrane of the endosome and mostly are delivered to lysosomes enabling degradation of membrane proteins, such as stimulated growth factor receptors, lysosomal enzymes and lipids. The MVB pathway appears to require the sequential function [...] 
59	CHMP4A	9606.ENSP00000324205	CHMP4A	Charged multivesicular body protein 4a; Probable core component of the endosomal sorting required for transport complex III (ESCRT-III) which is involved in multivesicular bodies (MVBs) formation and sorting of endosomal cargo proteins into MVBs. MVBs contain intraluminal vesicles (ILVs) that are generated by invagination and scission from the limiting membrane of the endosome and mostly are delivered to lysosomes enabling degradation of membrane proteins, such as stimulated growth factor receptors, lysosomal enzymes and lipids. The MVB pathway appears to require the sequential functio [...] 
60	CHMP4C	9606.ENSP00000297265	CHMP4C	Charged multivesicular body protein 4c; Probable core component of the endosomal sorting required for transport complex III (ESCRT-III) which is involved in multivesicular bodies (MVBs) formation and sorting of endosomal cargo proteins into MVBs. MVBs contain intraluminal vesicles (ILVs) that are generated by invagination and scission from the limiting membrane of the endosome and mostly are delivered to lysosomes enabling degradation of membrane proteins, such as stimulated growth factor receptors, lysosomal enzymes and lipids. The MVB pathway appears to require the sequential functio [...] 
61	CLEC16A	9606.ENSP00000387122	CLEC16A	Protein CLEC16A; Regulator of mitophagy through the upstream regulation of the RNF41/NRDP1-PRKN pathway. Mitophagy is a selective form of autophagy necessary for mitochondrial quality control. The RNF41/NRDP1-PRKN pathway regulates autophagosome-lysosome fusion during late mitophagy. May protect RNF41/NRDP1 from proteosomal degradation, RNF41/NRDP1 which regulates proteosomal degradation of PRKN. Plays a key role in beta cells functions by regulating mitophagy/autophagy and mitochondrial health; Belongs to the CLEC16A/gop-1 family
62	CLTC	9606.ENSP00000479606	CLTC	Clathrin heavy chain 1; Clathrin is the major protein of the polyhedral coat of coated pits and vesicles. Two different adapter protein complexes link the clathrin lattice either to the plasma membrane or to the trans-Golgi network. Acts as component of the TACC3/ch- TOG/clathrin complex proposed to contribute to stabilization of kinetochore fibers of the mitotic spindle by acting as inter- microtubule bridge. The TACC3/ch-TOG/clathrin complex is required for the maintenance of kinetochore fiber tension. Plays a role in early autophagosome formation; Belongs to the clathrin heavy chain [...] 
63	CLU	9606.ENSP00000315130	CLU	Clusterin; Isoform 1 functions as extracellular chaperone that prevents aggregation of nonnative proteins. Prevents stress- induced aggregation of blood plasma proteins. Inhibits formation of amyloid fibrils by APP, APOC2, B2M, CALCA, CSN3, SNCA and aggregation-prone LYZ variants (in vitro). Does not require ATP. Maintains partially unfolded proteins in a state appropriate for subsequent refolding by other chaperones, such as HSPA8/HSC70. Does not refold proteins by itself. Binding to cell surface receptors triggers internalization of the chaperone-client complex and subsequent lysosom [...] 
64	CPTP	9606.ENSP00000343890	CPTP	Ceramide-1-phosphate transfer protein; Mediates the intracellular transfer of ceramide-1- phosphate between organelle membranes and the cell membrane. Required for normal structure of the Golgi stacks. Can bind phosphoceramides with a variety of aliphatic chains, but has a preference for lipids with saturated C16:0 or monounsaturated C18:1 aliphatic chains, and is inefficient with phosphoceramides containing lignoceryl (C24:0). Plays a role in the regulation of the cellular levels of ceramide-1-phosphate, and thereby contributes to the regulation of phospholipase PLA2G4A activity and t [...] 
65	CSNK2A1	9606.ENSP00000217244	CSNK2A1	Casein kinase II subunit alpha; Catalytic subunit of a constitutively active serine/threonine-protein kinase complex that phosphorylates a large number of substrates containing acidic residues C-terminal to the phosphorylated serine or threonine. Regulates numerous cellular processes, such as cell cycle progression, apoptosis and transcription, as well as viral infection. May act as a regulatory node which integrates and coordinates numerous signals leading to an appropriate cellular response. During mitosis, functions as a component of the p53/TP53-dependent spindle assembly checkpoin [...] 
66	CSNK2B	9606.ENSP00000365042	CSNK2B	Casein kinase II subunit beta; Participates in Wnt signaling (By similarity). Plays a complex role in regulating the basal catalytic activity of the alpha subunit; Belongs to the casein kinase 2 subunit beta family
67	CTSA	9606.ENSP00000361562	CTSA	Lysosomal protective protein; Protective protein appears to be essential for both the activity of beta-galactosidase and neuraminidase, it associates with these enzymes and exerts a protective function necessary for their stability and activity. This protein is also a carboxypeptidase and can deamidate tachykinins
68	CALCOCO2	9606.ENSP00000398523	CALCOCO2	Calcium-binding and coiled-coil domain-containing protein 2; Xenophagy-specific receptor required for autophagy- mediated intracellular bacteria degradation. Acts as an effector protein of galectin-sensed membrane damage that restricts the proliferation of infecting pathogens such as Salmonella typhimurium upon entry into the cytosol by targeting LGALS8- associated bacteria for autophagy. Initially orchestrates bacteria targeting to autophagosomes and subsequently ensures pathogen degradation by regulating pathogen-containing autophagosome maturation. Bacteria targeting to autophagosom [...] 
69	CASP1	9606.ENSP00000433138	CASP1	Caspase-1; Thiol protease that cleaves IL-1 beta between an Asp and an Ala, releasing the mature cytokine which is involved in a variety of inflammatory processes. Important for defense against pathogens. Cleaves and activates sterol regulatory element binding proteins (SREBPs). Can also promote apoptosis. Upon inflammasome activation, during DNA virus infection but not RNA virus challenge, controls antiviral immunity through the cleavage of MB21D1/cGAS, rendering it inactive; Belongs to the peptidase C14A family
70	CLN3	9606.ENSP00000454229	CLN3	Battenin; Involved in microtubule-dependent, anterograde transport of late endosomes and lysosomes
71	DAP	9606.ENSP00000230895	DAP	Death-associated protein 1; Negative regulator of autophagy. Involved in mediating interferon-gamma-induced cell death
